"id","likeCount","tmdbId","adult","backdropPath","firstAirDate","inProduction","lastAirDate","posterPath","status","tagline","voteCount","titleTranslations","overviewTranslations","title","overview","popularity","voteAverage","releaseDate"
2458,0,6862,False,"/k5oELIxgudGl1zn443CL5rA7Rvr.jpg","2002-04-15",False,"2002-06-24","/oZD94Ff5bwRqJVAxZTuR44kagEg.jpg","Ended","",8,"{""en"": ""One Million Stars Falling from the Sky"", ""kr"": ""하늘에서 내리는 1억개의 별"", ""vn"": ""One Million Stars Falling from the Sky""}","{""en"": ""The down-and-out detective Kanzo Dojima (Sanma Akashiya) is thinking about hanging up his job. A mysterious man named Ryo Katase (Takuya Kimura). No one seems to know what's going on in the heart of this lonely guy, what he believes in, what he really loves. Then these two men meet by chance one day. The story takes an unexpected turn of events concerning a murder case.\n\nMaybe the two of them should never have met. And then there's Kanzo's sister Yuko (Eri Fukatsu). What will the relationship between her and Ryo be like?"", ""kr"": ""한번 보면 절대로 잊어먹지 않고 기억해내는 특이한 능력(완전기억능력)을 갖고 있는 남자인 카타세 료(기무라 타쿠야)와 의문의 살인 사건을 수사하는 중년 형사 도지마 칸조(아카시야 산마), 그리고 그의 여동생인 도지마 유코(후카츠 에리)가 서로의 인연이 얽히고 설키면서 일어나는 이야기를 그린 드라마."", ""vn"": ""The down-and-out detective Kanzo Dojima (Sanma Akashiya) is thinking about hanging up his job. A mysterious man named Ryo Katase (Takuya Kimura). No one seems to know what's going on in the heart of this lonely guy, what he believes in, what he really loves. Then these two men meet by chance one day. The story takes an unexpected turn of events concerning a murder case.\n\nMaybe the two of them should never have met. And then there's Kanzo's sister Yuko (Eri Fukatsu). What will the relationship between her and Ryo be like?""}","One Million Stars Falling from the Sky","The down-and-out detective Kanzo Dojima (Sanma Akashiya) is thinking about hanging up his job. A mysterious man named Ryo Katase (Takuya Kimura). No one seems to know what's going on in the heart of this lonely guy, what he believes in, what he really loves. Then these two men meet by chance one day. The story takes an unexpected turn of events concerning a murder case.

Maybe the two of them should never have met. And then there's Kanzo's sister Yuko (Eri Fukatsu). What will the relationship between her and Ryo be like?","66.76","8.1","2002-04-15 00:00:00"
2459,0,16420,False,"/qgIZ66EnXwoZOLNuKHveW5rRHpt.jpg","2009-01-05",False,"2009-03-31","/Apn2ccFuy7uahKAd0Kb9DbQQvNY.jpg","Ended","",1713,"{""en"": ""Boys Over Flowers"", ""kr"": ""꽃보다 남자"", ""vn"": ""Vườn Sao Băng""}","{""en"": ""Unassuming high school girl Jan-di stands up to — and eventually falls for — a spoiled rich kid who belongs to the school's most powerful clique."", ""kr"": ""평범한 서민 집안의 한 소녀가 부유층 자제들로 가득한 고등학교로 전학해 네 명의 꽃미남 재벌소년들과 만나면서 벌이는 좌충우돌 이야기를 그린 드라마"", ""vn"": ""Jan Di là một cô gái bình thường, gia đình có tiệm giặt khô gần trường đại học danh tiếng dành cho con nhà Shin Hwa.Một ngày nọ Jan Di gặp được 4 chàng trai nổi tiếng \""quậy\"" và đều là con nhà giàu có khi cô vào trường này giao đồ giặt ủi. Bốn chàng trai này được biết đến như là một nhóm F4, những ai lên tiếng chống đối bốn anh chàng này đều không được \""yên thân\"".""}","Boys Over Flowers","Unassuming high school girl Jan-di stands up to — and eventually falls for — a spoiled rich kid who belongs to the school's most powerful clique.","83.694","8.3","2009-01-05 00:00:00"
2460,0,242503,False,"/5u99NHyKzaz8n0aPuxFyYkSSSnO.jpg","2024-03-23",True,"2024-09-08","/2s2IhvANWB7wSyMz12WORtshCdk.jpg","Returning Series","",3,"{""en"": ""Beauty and Mr. Romantic"", ""kr"": ""Beauty and Mr. Romantic"", ""vn"": ""Mĩ Nữ và Quý Ngài Lãng Mạn""}","{""en"": ""A love story about an actress falls to the bottom overnight, and a producer's effort to try and get her back on her feet because he loves her. A cheerful family drama that reveals the truth of the case and restores love and justice through revenge and a family's desire going through confusion due to family conflicts."", ""kr"": ""하루아침에 재기 불능 시궁창 밑바닥으로 추락한 여배우와 그 여배우를 사랑하고 다시 일으켜 세우는 혈기 왕성한 초짜 드라마 PD의 산전수전 공중전 파란만장 러브스토리"", ""vn"": ""Câu chuyện tình yêu về một nữ diễn viên rơi xuống đáy chỉ sau một đêm và nỗ lực của nhà sản xuất để cố gắng vực dậy cô ấy vì anh ấy yêu cô ấy. Một bộ phim gia đình vui vẻ tiết lộ sự thật của vụ án và khôi phục lại tình yêu và công lý thông qua sự trả thù cũng như mong muốn của một gia đình trải qua sự bối rối do xung đột gia đình.""}","Beauty and Mr. Romantic","A love story about an actress falls to the bottom overnight, and a producer's effort to try and get her back on her feet because he loves her. A cheerful family drama that reveals the truth of the case and restores love and justice through revenge and a family's desire going through confusion due to family conflicts.","69.171","8.3","2024-03-23 00:00:00"
2461,0,65714,False,"/jvWrJ0GolfZiN7ZSOoMUnNnU6I2.jpg","2016-02-27",False,"2016-08-20","/o7JVhqYNLB4EIEa7HMNrW4b30R2.jpg","Ended","",5,"{""en"": ""Happy Home"", ""kr"": ""가화만사성"", ""vn"": ""Gia Hòa Vạn Sự Thành – Happy Home""}","{""en"": ""A new building complex is built in Chinatown and Bong Sam Bong opens his Chinese restaurant called “Gahwamansasung” there with a big splash. But Bong’s luck does not last long after he had worked so hard from the bottom to finally open his own restaurant. His married children all get divorced and now his own wife is demanding a divorce, too. This show follows the drama-filled lives of Mr. Bong’s family as they run “Gahwamansasung,” the largest Chinese restaurant in Chinatown. The family overcomes a string of crises and through understanding, they resolve their differences and lingering family issues. Despite their fighting, they still stay tight as a family unit and will sit down together for a bowl of Chinese noodles for family dinners with lots of love and laughter."", ""kr"": ""차이나타운 한 가운데 초대형 건물이 들어서고, 가화만사성이라는 중식당의 화려한 오픈식이 시작된다. 한겨울 손이 곱아지도록 철가방을 들어 나르던 꼬마 삼봉은, 45년이 지난 지금 이렇게 번듯한 중식당의 사장이 되었고, 노년으로 접어드는 그의 옆에는 든든한 일가족이 함께 하고 있다. 그리고 그 영광의 순간은, 단 5분 만에 와장창 깨지고 말았다! 첫 째 아들 만호를 필두로 시작된 자식들의 줄줄이 이혼은, 심지어 예순이나 된 마누라 숙녀의 황혼 이혼 소송까지 이어졌고, 그렇게 봉가네 가화만사성(家和萬事成)이 무너지는 듯한데..."", ""vn"": ""Gia đình Bong Sam Bong, chủ một nhà hàng Trung Quốc và ba người con: hai chị em sinh đôi một trai, một gái Hae Ryung và Man Ho, cùng cô em út Hae Won.  Ba chị em, mỗi người một hoàn cảnh một số phận, điều chung nhất của họ chính là cuộc sống luôn gặp những điều rắc rối. Cô chị cả Hae Ryung tuy có một gia đình ấm áp nhưng đó chỉ là vẻ bên ngoài, cô luôn phải hứng chịu những áp lực không nhỏ từ ngôi nhà nhỏ của mình, cậu thứ 2 thì luôn phải dựa vào vợ mình và luôn bị xem nhẹ vì kém cỏi còn cô út thì Hae Won là một người phụ nữ xinh đẹp và thành công nhưng luôn gặp rắc rối từ sếp mình.""}","Happy Home","A new building complex is built in Chinatown and Bong Sam Bong opens his Chinese restaurant called “Gahwamansasung” there with a big splash. But Bong’s luck does not last long after he had worked so hard from the bottom to finally open his own restaurant. His married children all get divorced and now his own wife is demanding a divorce, too. This show follows the drama-filled lives of Mr. Bong’s family as they run “Gahwamansasung,” the largest Chinese restaurant in Chinatown. The family overcomes a string of crises and through understanding, they resolve their differences and lingering family issues. Despite their fighting, they still stay tight as a family unit and will sit down together for a bowl of Chinese noodles for family dinners with lots of love and laughter.","106.338","5.6","2016-02-27 00:00:00"
2462,0,72707,False,"/9KxL293xuasA6Uv34voOyzPFhVp.jpg","2017-09-02",False,"2018-03-11","/n04DUwIbWuvBrpzLh5H3oszLMjq.jpg","Ended","",18,"{""en"": ""My Golden Life"", ""kr"": ""황금빛 내 인생"", ""vn"": ""Cuộc Sống Thượng Lưu""}","{""en"": ""A hardworking contract worker desperate for a full-time job finds her life turning upside down after an unexpected revelation about her family."", ""kr"": ""흙수저를 벗어나고 싶은 3無녀에게 가짜 신분 상승이라는 인생 치트키가 생기면서 펼쳐지는 황금빛 인생 체험기를 그린 세대 불문 공감 가족 드라마"", ""vn"": ""Đang khao khát có công việc toàn thời gian, nữ nhân viên hợp đồng chăm chỉ thấy cuộc sống của mình bị đảo lộn sau một tiết lộ bất ngờ về gia đình cô.""}","My Golden Life","A hardworking contract worker desperate for a full-time job finds her life turning upside down after an unexpected revelation about her family.","63.253","6.4","2017-09-02 00:00:00"
2463,0,46636,False,"/ya4InyiGmAuFDVCvDtGSdn6yBEp.jpg","2013-04-03",False,"2013-06-06","/eu0lm3wTrMsisRFcdtzHyIimIum.jpg","Ended","",6,"{""en"": ""When a Man Falls in Love"", ""kr"": ""남자가 사랑할 때"", ""vn"": ""When a Man Falls in Love""}","{""en"": ""Han Tae-Sang is a former gangster, but now a successful business man. He has a cold-blooded decisiveness and incredible drive. This helped him to attain his current status, as he started with nothing. He then meets a younger woman named Seo Mi-Do. Her personality reminds him of himself when he was that age. Han Tae-Sang begins to feel love for the first time in his life."", ""kr"": ""사망한 보스의 여자와 사랑에 빠진 한 남자가 다른 젊은 여성과 만나 벌어지는 에피소드를 담은 멜로 드라마."", ""vn"": ""Han Tae-Sang is a former gangster, but now a successful business man. He has a cold-blooded decisiveness and incredible drive. This helped him to attain his current status, as he started with nothing. He then meets a younger woman named Seo Mi-Do. Her personality reminds him of himself when he was that age. Han Tae-Sang begins to feel love for the first time in his life.""}","When a Man Falls in Love","Han Tae-Sang is a former gangster, but now a successful business man. He has a cold-blooded decisiveness and incredible drive. This helped him to attain his current status, as he started with nothing. He then meets a younger woman named Seo Mi-Do. Her personality reminds him of himself when he was that age. Han Tae-Sang begins to feel love for the first time in his life.","68.802","7.4","2013-04-03 00:00:00"
2464,0,135340,False,"/hQ4GRoPuF3f6whlclxveFoOODnk.jpg","2021-11-05",False,"2021-12-11","/8EnkVJwDP2QSJqOKte9EUjYKu4C.jpg","Ended","Trust disappears. unbearable thirst. there's no going back.",476,"{""en"": ""Happiness"", ""kr"": ""해피니스"", ""vn"": ""Hạnh Phúc: Chung Cư Có Độc""}","{""en"": ""A new type of deadly virus spread throughout the city, and the apartment where has different social classes of people is sealed off. With the fear of the virus, and the conflicts of the different classes, the residents have to spend and survive in the new habitation."", ""kr"": ""근미래를 배경으로 계층사회의 축소판인 아파트에 고립된 이들의 생존기를 그린 도시 스릴러"", ""vn"": ""Một tòa chung cư mới được xây dựng trong thành phố lớn. Tầng cao để người giàu mua nhà nổi sống ở, tầng thấp để người thuê sống ở. Một hôm, bệnh truyền nhiễm mới bùng phát và hoàn hành khắp nơi trong thành phố. Nhằm phòng ngừa dịch bệnh lan truyền, tòa chung cư bị phong tỏa. Do nỗi sợ với vi-rút và mâu thuẫn giữa tầng lớp khác nhau, các cư dân đành phải sinh tồn trong chung cư mới.""}","Happiness","A new type of deadly virus spread throughout the city, and the apartment where has different social classes of people is sealed off. With the fear of the virus, and the conflicts of the different classes, the residents have to spend and survive in the new habitation.","77.127","8","2021-11-05 00:00:00"
2465,0,64826,False,"/x4aOlHVSV8tUNLbFYEpzmkn9PYU.jpg","2013-08-05",False,"2013-10-08","/gq8j27c1UfKlN2VfbX9oHJZyvJM.jpg","Ended","",7,"{""en"": ""Love in Her Bag"", ""kr"": ""그녀의 신화"", ""vn"": ""Love in Her Bag""}","{""en"": ""Despite her poverty and lack of education or connections, bright and plucky Eun Jung-soo works her way up in the luxury handbag industry based on sheer talent alone. She encounters Do Jin-hoo, the smart and handsome chaebol heir of a fashion company, and Kim Seo-hyun who has to hide her true identity in order to achieve her dreams."", ""kr"": ""운명이 뒤바뀐 두 여자와 모든 것을 다 가진 한 남자가 진정성을 찾아가는 과정을 그리는 작품"", ""vn"": ""Despite her poverty and lack of education or connections, bright and plucky Eun Jung-soo works her way up in the luxury handbag industry based on sheer talent alone. She encounters Do Jin-hoo, the smart and handsome chaebol heir of a fashion company, and Kim Seo-hyun who has to hide her true identity in order to achieve her dreams.""}","Love in Her Bag","Despite her poverty and lack of education or connections, bright and plucky Eun Jung-soo works her way up in the luxury handbag industry based on sheer talent alone. She encounters Do Jin-hoo, the smart and handsome chaebol heir of a fashion company, and Kim Seo-hyun who has to hide her true identity in order to achieve her dreams.","75.563","6.2","2013-08-05 00:00:00"
2466,0,99494,False,"/1dJ2fvltzw1UCF5Ot5YFwKo1C19.jpg","2020-07-29",False,"2020-09-23","/ozPDfBmsrJDFF9ZhwQNxcGLXvzm.jpg","Ended","Some truths can ruin a life in a single moment.",529,"{""en"": ""Flower of Evil"", ""kr"": ""악의 꽃"", ""vn"": ""Hoa Của Quỷ""}","{""en"": ""Hiding a twisted past, a man maintains his facade as the perfect husband to his detective wife — until she begins investigating a series of murders."", ""kr"": ""14년간 사랑해 온 남편이 피도 눈물도 없는 연쇄살인마로 의심된다면? 사랑마저 연기한 남자 희성과 그의 실체를 의심하기 시작한 아내 지원. 외면하고 싶은 진실 앞에 마주 선 두 사람의 고밀도 감성 추적극. 희성은 이대로가 좋다. 사랑스러운 아내. 애교쟁이 딸. 직접 만든 금속공예품들이 진열된 번듯한 공방. 모든 일상이 완벽하게 평범했다. 그의 공방에 예기치 못한 방문객이 찾아오기 전까진. 강력계 형사 지원은 희성의 생일파티 날 걸려온 긴급 호출로 아동 살인미수 사건을 조사하게 되고, 같은 사건을 쫓던 기자 무진이 지원의 소개로 희성의 공방을 찾아오는데..."", ""vn"": ""Hoa Của Quỷ xoay quanh cuộc hôn nhân tưởng chừng hạnh phúc giữa người đàn ông bí ẩn có quá khứ đen tối Baek Hee Sung (Lee Jun Ki) - kẻ luôn tìm cách che giấu thân phận sát nhân của mình và người vợ là thám tử điều tra Cha Ji Won (Moon Chae Won). Mọi chuyện bắt đầu trở nên thú vị khi người vợ dần nhận ra chồng mình không phải là người đàn ông ngọt ngào như cô vẫn tưởng. Sẽ như thế nào nếu người đàn ông mà bạn yêu thương và tin tưởng suốt 14 năm trời hóa ra lại là một kẻ máu lạnh đáng sợ?""}","Flower of Evil","Hiding a twisted past, a man maintains his facade as the perfect husband to his detective wife — until she begins investigating a series of murders.","105.822","8.2","2020-07-29 00:00:00"
2467,0,44729,False,"/xQqp69Ik9bcpvW5i1vs0fYf80Yu.jpg","2012-05-28",False,"2012-07-17","/wVRsdidwrpTFcbwM4JRxdBItn6w.jpg","Ended","",8,"{""en"": ""The Chaser"", ""kr"": ""추적자"", ""vn"": ""The Chaser""}","{""en"": ""Although he was poor, detective Baek Hong Suk made an honest living. However, his poor yet happy family is shattered when his 15-year-old daughter dies. When people tarnish the name of his daughter, who means everything to him, Hong Suk vows to reveal the truth behind his daughter’s wrongful death and digs up the truth. In his search, he comes to face a stronger mastermind than expected."", ""kr"": ""형사인 아버지가 갑작스런 뺑소니 사고로 중학생 딸이 죽고 그 충격에 아내까지 잃게 되자 진실을 파헤치면서 권력의 핵심에 맞서 대항하는 이야기를 그린 작품."", ""vn"": ""Although he was poor, detective Baek Hong Suk made an honest living. However, his poor yet happy family is shattered when his 15-year-old daughter dies. When people tarnish the name of his daughter, who means everything to him, Hong Suk vows to reveal the truth behind his daughter’s wrongful death and digs up the truth. In his search, he comes to face a stronger mastermind than expected.""}","The Chaser","Although he was poor, detective Baek Hong Suk made an honest living. However, his poor yet happy family is shattered when his 15-year-old daughter dies. When people tarnish the name of his daughter, who means everything to him, Hong Suk vows to reveal the truth behind his daughter’s wrongful death and digs up the truth. In his search, he comes to face a stronger mastermind than expected.","66.573","7.9","2012-05-28 00:00:00"
2468,0,65412,False,"/nEZjqGJeNmXR2kKqcWl5PLfEZQb.jpg","2016-02-24",False,"2016-04-14","/ebmVNHZrFgiIjq8bpB8fUzYfrav.jpg","Ended","""I can't go to heaven because I'm wronged!""",35,"{""en"": ""Come Back Alive"", ""kr"": ""돌아와요 아저씨"", ""vn"": ""Come Back Alive""}","{""en"": ""After being literally worked to death, one man comes back to life while possessing a handsome man for a limited time."", ""kr"": ""일본 작가 아사다 지로의 츠바키야마 과장의 7일간이라는 작품을 원작으로, 쌈박하게 귀환한 저승동창생들의 이야기를 담은 휴먼 판타지 코믹드라마"", ""vn"": ""After being literally worked to death, one man comes back to life while possessing a handsome man for a limited time.""}","Come Back Alive","After being literally worked to death, one man comes back to life while possessing a handsome man for a limited time.","60.88","8.2","2016-02-24 00:00:00"
2469,0,112836,False,"/lcTuggU70y6pt6x13Rv1Ffjs93K.jpg","2022-06-24",False,"2022-12-09","/bnfTPTTytrZZ9Aw6hoOQdojiaKo.jpg","Ended","Witness a heist like no other.",666,"{""en"": ""Money Heist: Korea - Joint Economic Area"", ""kr"": ""Money Heist: Korea - Joint Economic Area"", ""vn"": ""Phi Vụ Triệu Đô: Hàn Quốc""}","{""en"": ""Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen."", ""kr"": ""통일을 앞둔 미래의 한반도. '교수'라 불리는 수수께끼의 인물이 남과 북의 노련한 도둑들을 모아 희대의 인질극을 꾸민다. 이 작전의 목표는 갓 찍어낸 지폐를 훔쳐 탈출하는 것."", ""vn"": ""Giáo sư (Yoo Ji-Tae) lên kế hoạch cho một vụ trộm đầy tham vọng sẽ có một khoản tiền lớn. Đối với kế hoạch của mình, Giáo sư tìm kiếm các thành viên tiềm năng trong nhóm. Các thành viên được tuyển chọn chọn tên thành phố làm mật danh và họ đều có cá tính mạnh mẽ. Kế hoạch của họ có vẻ hoàn hảo, nhưng do bắt giữ các con tin, họ phải đối mặt với một tình huống bất ngờ.""}","Money Heist: Korea - Joint Economic Area","Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.","74.592","7.8","2022-06-24 00:00:00"
